test_case,request_num,latency_ms
fake2,17,106.01806640625
fake2,18,90.78288078308105
fake2,19,91.08400344848633
fake2,20,100.71206092834473
fake2,21,182.81292915344238
fake2,22,95.37005424499512
fake2,23,89.65086936950684
fake2,24,93.8420295715332
fake2,25,96.85087203979492
fake2,26,179.18109893798828
fake2,27,97.88012504577637
fake2,28,91.9790267944336
fake2,29,95.97587585449219
fake2,30,162.55688667297363
fake2,31,101.27091407775879
fake2,32,95.73698043823242
fake2,33,89.43796157836914
fake2,34,112.48588562011719
fake2,35,167.9520606994629
fake2,36,89.93101119995117
fake2,37,92.42701530456543
fake2,38,94.93017196655273
fake2,39,91.40300750732422
fake2,40,156.782865524292
fake2,41,105.36384582519531
fake2,42,92.9560661315918
fake2,43,97.84126281738281
fake2,44,179.51297760009766
fake2,45,93.79887580871582
fake2,46,99.7312068939209
fake2,47,100.69799423217773
fake2,48,92.44108200073242
fake2,49,187.3152256011963
fake2,50,94.90323066711426
fake2,51,93.32609176635742
fake2,52,85.44087409973145
fake2,53,106.42600059509277
fake2,54,191.82920455932617
fake2,55,89.39909934997559
fake2,56,90.2719497680664
fake2,57,88.31095695495605
fake2,58,161.32092475891113
fake2,59,91.16911888122559
fake2,60,93.97101402282715
fake2,61,99.51186180114746
fake2,62,94.75088119506836
fake2,63,194.66590881347656
fake2,64,103.6520004272461
fake2,65,93.28389167785645
fake2,66,102.82325744628906
fake2,67,175.66299438476562
fake2,68,99.50900077819824
fake2,69,89.55526351928711
fake2,70,92.8950309753418
fake2,71,92.11182594299316
fake2,72,149.72472190856934
fake2,73,89.67709541320801
fake2,74,90.96026420593262
fake2,75,91.89605712890625
fake2,76,95.61419486999512
fake2,77,154.44588661193848
fake2,78,102.31184959411621
fake2,79,101.66287422180176
fake2,80,97.98192977905273
fake2,81,102.72812843322754
fake2,82,165.01307487487793
fake2,83,84.85698699951172
fake2,84,94.54703330993652
fake2,85,92.76700019836426
fake2,86,99.66421127319336
fake2,87,155.93695640563965
fake2,88,85.67595481872559
fake2,89,104.91371154785156
fake2,90,92.28086471557617
fake2,91,91.12691879272461
fake2,92,186.56420707702637
fake2,93,99.61199760437012
fake2,94,91.85099601745605
fake2,95,95.93987464904785
fake2,96,153.717041015625
fake2,97,95.06511688232422
fake2,98,98.64497184753418
fake2,99,95.82805633544922
fake2,100,88.82498741149902
real1,1,196.64812088012695
real1,2,89.62488174438477
real1,3,102.9198169708252
real1,4,103.01613807678223
real1,5,179.365873336792
real1,6,96.23479843139648
real1,7,91.8271541595459
real1,8,98.34480285644531
real1,9,100.94475746154785
real1,10,180.4821491241455
real1,11,94.00081634521484
real1,12,95.30496597290039
real1,13,101.2420654296875
real1,14,90.789794921875
real1,15,184.88097190856934
